tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
MPN,Myeloid neoplasm with eosinophilia,,,,FIGHT-203,Phase 2,FGFR1 fusion/rearragement,Pemigatinib,65% CR; 73% CCyR,,,,,,,MPN!38,
Myeloma,,Smoldering,,,ECOG E3A06,,"SMM, intermediate or high risk with Mayo 2018 criteria",Lenalidomide vs observation,"2 year PFS 93 vs 76%, HR 0.28; benefit clearer in high risk subgroup; OS immature (2 vs 4)","Used 20/2/20 for ris stratification (high risk =2-3 RFs, Int risk = 1 RF, Low risk =0RFs)",,,,,,Myeloma!4,
Myeloma,,Smoldering,,,QuiRedex,,High risk SMM,Len-dex vs observation,"PFS NR vs 23 mos, HR 0.24; MM in 39 vs 86%; 3 year OS 94 vs 80%, HR 0.43)",Requires flow cytometry to define high risk group in 50% of patients,,,,,,Myeloma!5,
Myeloma,,Smoldering,,,ASCENT,Phase 2,high risk SMM,dara-KRd 1 year -> Rd maintenance 1 year,"ORR 97%, MRD neg 84%; 3 year PFS 90%;",,,,,,,Myeloma!6,
Myeloma,,Smoldering,,,GEM-CESAR,Phase 2,high risk SMM,KRdx6 -> ASCT -> KRdx2-> Rdx24,MRD neg 68% after ACST but decreased to 43% at 4 years,,,,,,,Myeloma!7,
Myeloma,,1st line,Transplant-eligible,,IFM2013-04,,1st line pre-ASCT,VTD vs VCD,Higher RR with VTD; PFS and OS immature,,,,,,,Myeloma!12,
Myeloma,,1st line,Transplant-eligible,,EVOLUTION,,1st line pre-ASCT,VRd vs VCyD vs VCyDR,No advantage of 4 drug vs 3 drug regimens,,,,,,,Myeloma!13,
Myeloma,,1st line,Transplant-eligible,,CASSIOPEIA,,1st line pre-ASCT; dara maintenance x 2 years in those with ≥PR,VTD+/-Dara,"18 mo PFS 93 vs 85%, HR 0.47; OS immature but HR 0.43; 

dara maintenance improved PFS (NR vs 47 mos, HR 0.53) but only in those not receiving up-front dara",,,,,,,Myeloma!14,
Myeloma,,1st line,Transplant-eligible,,GRIFFIN,Phase 2,1st line pre-ASCT,VRd+/-dara,Higher ORR and deeper responses; PFS immature (24 mo 96 vs 90%; 3 year 89 vs 81%),,,,,,,Myeloma!15,
Myeloma,,1st line,Transplant-eligible,,PERSEUS,Phase 3,1st line pre-ASCT,VRd+R maintenance vs DVRd+DR maintenance,"48 mo PFS 84 vs 68%, HR 0.42; CR 88 vs 70%; MRD neg 75 vs 48%; More neutropenia and thrombocytopenia",,,,,,,Myeloma!16,
Myeloma,,1st line,Transplant-eligible,,GMMG HD7,Phase 3,1st line pre-ASCT phase 3,RVd +/-isatuximab,MRD after induction 50 vs 36% (OR 1.83); similar grade 3 toxicity (61/63%),,,,,,,Myeloma!17,
Myeloma,,1st line,Transplant-eligible,,ISKIA,Phase 3,1st line pre-ASCT phase 3; primary endpoint MRD 10exp-5 after consolidation,KRd +/- isatuximab,"MRD neg 77 vs 67%, OR 1.67); MRD 10exp-6 67 vs 48%; PFS NS (95% at 1 year); similar AEs; retained benefit in high risk group",,,,,,,Myeloma!18,
Myeloma,,1st line,Transplant-eligible,,FORTE,Phase 3,1st line pre-ASCT phase 3,KRD4->ASCT->KRD4 vs KRD12 vs KCD4->ASCT->KRD4; second randomisation maintenance KR vs R,"VGPR 70 vs 53% KRD vs KCD, OR 2.14; 4-y PFS 69 vs 56 vs 51% (KRD-ASCT better, HR 0.61 and 0.54); 4-y OS NS (76-86%); maintenance 3-y PFS 75 vs 65%, HR 0.64",,,,,,,Myeloma!19,
Myeloma,,1st line,Transplant-eligible,,MASTER,Phase 2,Newly diagnosed MM enriched for high-risk cytogenetics; n=123,"Dara-KRd induction, ASCT, MRD-adapted consolidation with treatment cessation after 2 consecutive MRD-negative assessments",80% reached MRD negativity (<10-5); 71% had 2 consecutive negatives and stopped therapy; 2-y PFS 87% overall but 58% with 2+ high-risk abnormalities,"MRD-guided cessation looks safe with 0-1 high-risk abnormality, not with 2+",MRD negativity 80%,34898239,,,,Myeloma!20,
Myeloma,,1st line,Transplant-eligible,,SWOG 1211,Phase 2,Newly diagnosed transplant eligible MM; high risk; no transplant 8 cycles RVD with different maintenance arms,RVDx8 with R maintenance +/- elotuzumab,PFS NS (31 mos); OS NS (68mos),,,,,,,Myeloma!21,
Myeloma,,1st line,Transplant-eligible,,DETERMINATION,Phase 3,TE MM,RVD R maintenance +/-transplant,"PFS 46 vs 68 mos, HR 1.53); 5 year OS NS (79 vs 80%);",,,,,,,Myeloma!22,
Myeloma,,1st line,Transplant-eligible,,DSM XIII,,RCT TE 60-75 years old,RD->R maintenance +/-ASCT,PFS NS (40/33 mos) and OS NS (87/96 mos),Adding ASCT (Mel 140) not superior to continuous Rd,,,,,,Myeloma!23,
Myeloma,,1st line,Transplant-ineligible,,ECOG E4A03,,1st line MM,RD vs Rd,Higher OS with Rd at 1 and 2 years (96 vs 87% and 87 vs 75%),,,,,,,Myeloma!26,
Myeloma,,1st line,Transplant-ineligible,,SWOG S0777,,1st line TI MM,VRd vs Rd,"PFS 43 vs 30 mos, HR 0.71; OS 75 vs 64 mos, HR 0.71;",,,,,,,Myeloma!27,
Myeloma,,1st line,Transplant-ineligible,,FIRST,,1st line TI MM,"Rd, vs Rd18 vs MPT","RD vs MPT: PFS 26 vs 22 mos, HR 0.69; OS 59 vs 49 mos, HR 0.78; ≥VGPR 48%;

RD vs Rd18: PFS 70 vs 40 mos; OS NS",,,,,,,Myeloma!28,
Myeloma,,1st line,Transplant-ineligible,,MAIA,,TI MM,DRd vs Rd,5 year PFS 53 vs 29%; 5 year OS 66 vs 53%; more infection and pneumonia; ;≥CR in 48 vs 25%,,,,,,,Myeloma!29,
Myeloma,,1st line,Transplant-ineligible,,ENDURANCE,Phase 3,first line TI myeloma; excluded high risk MM,KRD vs VRD; 2nd randomization to len indefinite vs 2 years maintenance,"PFS NS (34 mos), 3 year OS NS (85%); more neuropathy with VRD; more CHF/HTN/AKI with KRD",,,,,,,Myeloma!30,
Myeloma,,1st line,Transplant-ineligible,,CLARION,,First line TI MM,KMP vs VMP,"PFS NS (22 mos), OS NS",,,,,,,Myeloma!31,
Myeloma,,1st line,Transplant-ineligible,,ALCYONE,,First line TI MM,VMP+/-dara,36 mo OS 78% vs 68% HR 0.6; {FS HR 0.42,Non-standard backbone; lack of dara in second line in control arm,,,,,,Myeloma!32,
Myeloma,,1st line,Transplant-ineligible,,IMROZ,,First line TI MM,VRd +/- isatuximab,"60 mo PFS 63% vs 45%, HR 0.60; CR 74 vs 64%; MRD neg 55 vs 41%;",,,,,,,Myeloma!33,
Myeloma,,1st line,Transplant-ineligible,,BENEFIT,,"First line TI MM, 65-79 years old",IsaRd +/- bortezomib,"MRD neg at 18 mos 26% vs 53%, OR 3.16; CR 58 vs 33%;",,,,,,,Myeloma!34,
Myeloma,,1st line,Transplant,,IFM 2009,,Newly diagnosed MM ≤65 (early vs delayed transplant with VRD induction and 1 year len maintenance),"VRD x 3 ->VRD x 5 with delayed transplant vs early transplant, VRD x 2; all had len maintenance x 1 year","ASCT produced deeper remission (CR 59 vs 48%; MRD pos 65 vs 79%), longer PFS (50 vs 36 mos); 4 year OS NS (81%)",Delayed ASCT did not impact OS; most deferred patients could have transplant later,,,,,,Myeloma!37,
Myeloma,,1st line,Transplant,,BMT CTN 0702,,Symptomatic MM within 12 mos of starting therapy; All patients received len maintenance,ASCT vs tandem ASCT vs ASCT-RVDx4,PFS and OS similar amongst all arms,Tandem ASCT or consolidation not favoured; single ASCT remains standard,,,,,,Myeloma!38,
Myeloma,,1st line,Transplant,,McCarthy et al meta-analysis,,"post transplant maintenance with len, 4 studies",Len maintenance vs observation,"PFS 53 vs 24 mos, HR 0.48; 7 year OS 62 vs 50%, HR 0.75; higher SPM 6.1 vs 2.8%;",,,,,,,Myeloma!39,
Myeloma,,1st line,Transplant,,TOURMALINE MM3,,≥PR after induction and ASCT,Ixazomib maintenance vs observation,"PFS 27 vs 21 mos, HR 0.72",Degree of benefit less than what was seen with len,,,,,,Myeloma!40,
Myeloma,,1st line,Transplant,,HOVON-65/GMMG-HD4,,Trial of bort before and after ASCT,VAD->ASCT->thal vs PAD->ASCT->bort,"Improved PFS and OS with bort but benefit seemed mainly to come from high risk group (OS at 54 mos NR vs 24 mos, HR 0.36)",Rationale for bort maintenance in high risk patients,,,,,,Myeloma!41,
Myeloma,,1st line,Transplant,,EMN12/HO129,Phase 2,Plasma cell leukemia,KRDx4-> tandem ASCT vs alloSCT (both with some KRD consolidation and KR maintenance),Ongoing,,,,,,,Myeloma!42,
Myeloma,,1st line,Transplant,,ATLAS,Phase 3,Post transplant,KRd x 36 mos->R to progression vs R to progression,"PFS 59 vs 41 mos, HR 0.51;",Only interim analysis presented; supports Len alone in standard risk given greater toxicities with KRd,,,,,,Myeloma!43,
Myeloma,,1st line,Maintenance (transplant-ineligible),,MM-015,,TI ineligible newly diagnosed MM,MPR-R vs MPR vs MP,PFS 31 vs 14/13 mos; OS NS,,,,,,,Myeloma!48,
Myeloma,,1st line,Maintenance (transplant-ineligible),,Palumbo meta-analysis,,TI ineligible; newly diagnosed; maintenance was with len in 2/3 trials and one used bort and thal,Maintenance vs obs,"PFS 32 vs 16 mos, HR 0.47; PFS2 55 vs 40 mos, HR 0.61; 4 year OS 69 vs 60%, HR 0.69",,,,,,,Myeloma!49,
Myeloma,,1st line,Maintenance (transplant-ineligible),,Myeloma XI,,Newly diagnosed MM,Maintenance len vs observation,"PFS 39 mos vs 20 mos, HR 0.46; 3 year OS NS; 
In TE: 3 year OS 87.5 vs 80.2%, HR 0.69;
In TI: 3 year OS NS; PFS was improved with PFS 0.44",,,,,,,Myeloma!50,
Myeloma,,Relapsed/refractory,,,POLLUX,,≥1 prior therapy,Rd+/-dara,"24 mos PFS 68 vs 41%, HR 0.41; OS 68 vs 52 mos, HR 0.73; deeper and more frequent responses",,,,,,,Myeloma!53,
Myeloma,,Relapsed/refractory,,,CASTOR,,R/R MM,Vd+/-dara,"PFS 16.7 vs 7.1 mos, HR 0.31; OS 50 vs39 mos HR 0.74",,,,,,,Myeloma!54,
Myeloma,,Relapsed/refractory,,,CANDOR,Phase 3,RRMM after 1-3 prior lines; n=466,Kd+/-dara,"At median 28 mo: PFS 28.6 vs 15.2 mo, HR 0.59 (0.45-0.78); OS immature; fatal AEs 9 vs 5%",Updated PFS: PMID 34871550,"PFS NR vs 15.8 mo, HR 0.63 (95% CI 0.46-0.85), p=0.0027",32682484,,,,Myeloma!55,
Myeloma,,Relapsed/refractory,,,MM-03,Phase 3,RRMM after ≥2 prior lines including bortezomib and lenalidomide; n=455,Pom + low-dose dex vs high-dose dex,"PFS 4.0 vs 1.9 mo, HR 0.48 (0.39-0.60), p<0.0001",RR in len refractory is ~30%,"PFS 4.0 vs 1.9 mo, HR 0.48 (95% CI 0.39-0.60), p<0.0001",24007748,,,,Myeloma!56,
Myeloma,,Relapsed/refractory,,,Baz et al,Phase 2,Lenalidomide-refractory MM; n=70 randomised,Pd+/-cyclo,"ORR 65 vs 39%, p=0.035; PFS 9.5 vs 4.4 mo, p=0.106 (NS)",,"ORR 64.7 vs 38.9%, p=0.035",26932802,,,,Myeloma!57,
Myeloma,,Relapsed/refractory,,,APOLLO,Phase 3,prev treatment with len and PI,Pom-dex+/-dara,"PFS 12.4 vs 6.9 mos, HR 0.63; OS immature; deeper responses with dara",,,,,,,Myeloma!58,
Myeloma,,Relapsed/refractory,,,LYNX,Phase 2,dara pretreated,Kd+/-dara,"Stopped at interim futility analysis; >=VGPR 45.5% (D-Kd) vs 40.9% (Kd), OR 1.2 (90% CI 0.59-2.46), p=0.68; n=88",Evaluating role of dara post dara progression,">=VGPR 45.5 vs 40.9%, p=0.6757",41041907,,,,Myeloma!59,
Myeloma,,Relapsed/refractory,,,ENDEAVOR,,1-3 prior therapies,Kd vs Vd,"PFS 19 vs 9 mos, HR 0.53; OS 48 vs 39 mos, HR 0.76",S1304 results suggest can use lower/less toxic dose if using twice weekly dosing,,,,,,Myeloma!60,
Myeloma,,Relapsed/refractory,,,S1304,Phase 2,randomized phase 2 of different carfilzomib doses,Carfilzomib 27 vs 56 with dex,ORR NS; PFS NS (5 vs 8 mos); OS NS (26 vs 22 mos),Lower dose seems equivalent with lower cost,,,,,,Myeloma!61,
Myeloma,,Relapsed/refractory,,,ELOQUENT-2,Phase 3,1-3 prior lines of therapy,Rd+/-elotuzumab,"PFS 19.4 vs 14.9 mos, HR 0.70; ORR 79 vs 66%; OS 48 vs 40 mos, HR 0.78",,,,,,,Myeloma!62,
Myeloma,,Relapsed/refractory,,,ELOQUENT-3,,"R/R RCT, ref len and bort",Pd+/-elotuzumab,"PFS 10 vs 4.7 mos, HR 0.54; OS 30 vs 17 mos, HR 0.59",,,,,Only 3 patients with prior daratumumab,,Myeloma!63,
Myeloma,,Relapsed/refractory,,,ICARIA-MM,,"R/R MM, prev len and PI",Pd+/-isatuximab,"PFS 11.5 vs 6.5 mos, HR 0.6; OS NS but trend at 12 mos;",,,,,,,Myeloma!64,
Myeloma,,Relapsed/refractory,,,IKEMA,,1-3 prior lines,Kd+/-isatuximab,"At 21 mos PFS NR vs 19 mos, HR0.53; deeper responses; OS immature",,,,,,,Myeloma!65,
Myeloma,,Relapsed/refractory,,,Tourmaline-MM1,,1-3 prior therapies; not refractory ro len or PI,Rd+/-ixazomib,"PFS 21 vs 15 mos, HR 0.74; DOR 21 vs 15 mos; OS immature",,,,,,,Myeloma!66,
Myeloma,,Relapsed/refractory,,,ASPIRE,,Relapsed MM,Rd+/-carfilzomib,"PFS 26 vs 17 mos, HR 0.66; OS 48 vs 40 mos, HR 0.79; improved QOL",,,,,,,Myeloma!67,
Myeloma,,Relapsed/refractory,,,OPTIMISMM,,Progressed on len,Vd+/-pom,"PFS 11 vs 7 mos, HR 0.61; OS immature;",,,,,,,Myeloma!68,
Myeloma,,Relapsed/refractory,,,PANORAMA 1,,1-3 prior therapies,Vd+/-panobinostat,PFS 12 vs 8 mos; OS immature; more serious AEs 60 vs 42%; severe diarrhea in 25%; more deaths on therapy with panobinostat,,,,,,,Myeloma!69,
Myeloma,,Relapsed/refractory,,,STORM,Phase 2,quad or penta refractory (2 parts),Selinexor-dex,ORR 21-26%; DOR 4-5 mos;,Lots of toxicity in trials,,,,,,Myeloma!70,
Myeloma,,Relapsed/refractory,,,BOSTON,Phase 3,R/R MM,Vd+/-selinexor,"ORR 76 vs 62%; PFS 14 vs 9.5 mos, HR 0.7; OS immature; less neuropathy and more cytopenias/infection/GI",,,,,,,Myeloma!71,
Myeloma,,Relapsed/refractory,,,BELLINI,Phase 3,RRMM after 1-3 prior lines; n=291,Venetoclax or placebo + bortezomib-dexamethasone,"PFS 22.4 vs 11.5 mo, HR 0.63 (0.44-0.90), p=0.010; but increased mortality with venetoclax, driven by infection (8 fatal treatment-emergent infections vs 0)",Benefit concentrated in t(11;14) and BCL2-high disease; toxicity signal drove restriction to biomarker-selected pts,"PFS 22.4 vs 11.5 mo, HR 0.63 (95% CI 0.44-0.90), p=0.010",33129376,,,,Myeloma!72,
Myeloma,,Relapsed/refractory,,,CANOVA,Phase 3,"t(11;14)-positive RRMM, >=2 prior lines; n=263",Venetoclax-dexamethasone vs pomalidomide-dexamethasone,"Primary endpoint not met: PFS 9.9 vs 5.8 mo, HR 0.823 (0.596-1.136), p=0.24; ORR 62 vs 35%, MRD negativity 8 vs 0%; median OS 32.4 vs 26.9 mo (HR 0.856)",Response rates favoured venetoclax but did not translate into a significant PFS gain; 12% treatment-emergent deaths vs 6%,"PFS 9.9 vs 5.8 mo, HR 0.823 (95% CI 0.596-1.136), p=.24 - not met",41370738,,,,Myeloma!73,
Myeloma,,Relapsed/refractory,,,DREAMM-2,Phase 2,Refractory MM; open label phase 2,Belantamab mafodotin,"~33% ORR; corneal toxicity most common side effect, in some cases with severe visual impairment",,,,,,,Myeloma!74,
Myeloma,,Relapsed/refractory,,,DREAM-7,,RRMM ≥1 prior therapy,Bela-Vd vs DVd,"PFS 37 vs 13 mos, HR 0.41; OS HR 0.57; ORR 83 vs 71%; DOR 36 vs18 mos; TRAEs with discontinuation 26 vs 1%; more fatal AEs",,,,,,,Myeloma!75,
Myeloma,,Relapsed/refractory,,,KarMMa,Phase 2,R/R MM,Idecabtagene-vicleucel,"ORR 73%, ≥CR in 33%; PFS 9 mos; DOR 10.7 mos; DOR in CR pts 19 mos; 78% alive at 12 mos; OS 19 mos",,,,,,,Myeloma!76,
Myeloma,,Relapsed/refractory,,,KarMMa3,Phase 3,2-4 regimens; refractory to last treatment,IDE-cel vs standard Rx,"PFS 13 vs 4 mos, HR 0.49; ORR 71 vs 42%; CR 39 vs 5%; OS immature",,,,,,,Myeloma!77,
Myeloma,,Relapsed/refractory,,,CARTITUDE-1,,"R/R MM, >=3 prior lines;",Ciltacabtagene autoleucel,ORR 98% CR 83%; DOR 21.8 mos; PFS at 27 mos 55%,,,,,,,Myeloma!78,
Myeloma,,Relapsed/refractory,,,CARTITUDE-4,Phase 3,Len refractory MM,Ciltacabtagene autoleucel vs physicians choice,PFS NR vs 12 mos (HR 0.26); 12 mo PFS 76 vs 49%; OS NS,,,,,,,Myeloma!79,
Myeloma,,Relapsed/refractory,,,MajesTEC-1,Phase 1,Phase 1-2; ≥3 prior lines; triple class exposed,Teclistamab,"ORR 63%; ≥CR 39%; mDOR 18 mos; 

CRS 72%, gr 3 0.6%; ICANS 3%;",,,,,,,Myeloma!80,
Myeloma,,Relapsed/refractory,,,Mailankody et al,Phase 1,heavily pretreated,MCARH109 (GPRC5D targeted CAR-T),ORR - 71%;,,,,,,,Myeloma!81,
Myeloma,,Relapsed/refractory,,,MonumenTAL-1,Phase 1,heavily pretreated,Talquetamab,ORR 70% and 63% in highest dose ranges; mDOR 10 and 8 mos,,,,,,,Myeloma!82,
Myeloma,,Relapsed/refractory,,,CC-92480-MM-001,Phase 1/2,R/R MM,Mezigdomide+dex,"ORR 41%, DOR 7.6 mos",,,,,,,Myeloma!83,
Myeloma,Amyloidosis,,,,Kastritis,Phase 3,stage IIIB ineligible,Bort-Mel-Dex vs Mel-Dev,3 month Heme ORR 79 vs 52%; OS HR 0.5; grade 3/4 AEs 20 vs 10%,,,,,,,Myeloma!88,
Myeloma,Amyloidosis,,,,ANDROMEDA,Phase 3,newly diagnosed AL amyloidosis,CyBorD +/- Dara,In run in: ORR 96%; CHR in 54%,,,,,,,Myeloma!89,
Myeloma,Amyloidosis,,,,Tourmaline AL1,Phase 3,R/R AL post 1-2 lines,"Ixa-dex vs physician choice (dex, mel, thal, len, cyclo)","Heme ORR NS (53%); secondary endpoints seemed better (TTF, time to organ deterioration)",,,,,,,Myeloma!90,
Myeloid,AML,,,,AML14,,Older AML or high-risk MDS unfit for intensive chemotherapy; n=217,LDAC vs hydroxyurea (+/- ATRA),"CR 18 vs 1%; better OS (OR 0.60), driven by CR - OS 19 vs 2 mo with vs without CR; 2-y OS 9% overall",All of advantage seen in standard or favourable risk cytogenetics; median response time 3 cycles,"CR 18 vs 1%, OR 0.15 (95% CI 0.06-0.37), p=0.00006",17315155,,,,Myeloid!5,
Myeloid,AML,,,,Dombret,,AML ≥65 years old,Aza vs conventional care (Intensive/LoDAC/BSC),"OS 10 vs 7 mos, HR 0.85; OS better than BSC, similar to intensive induction and LoDAC",,,,,,,Myeloid!6,
Myeloid,AML,,,,AZA 001,,AML/high risk MDS,Aza vs CCR,"OS 25 vs 16 mos, HR 0.47; 2 year OS 50 vs 16%; heme response 29 vs 12%",CR/CRi for MAL is 31% with DOR 13 mos in general,,,,,,Myeloid!7,
Myeloid,AML,,,,VIALE-A,,AML ineligible for stanrd induction,Aza +/- venetoclax,"OS 15 vs 10 mos, HR 0.66; CR 37 vs 18%; feb neut 42% vs 19%",,,,,,,Myeloid!8,
Myeloid,AML,,,,Paradigm,,AML eligible for standard induction,AZA-Ven vs IC,ORR 88 vs 62%; CCR 81 vs 55%; 1 year EFS 53 vs 39%; Overall EFS HR 0.61; Better QOL with Ava-Ven,,,,,,,Myeloid!9,
Myeloid,AML,,,,Roboz et al,,IDH1 mutated,Ivosidenib,"CR+CRh in 42%, DOR NR and CR/CRh durable >1 year in 62% and 78% and transfusion independence in half; 9% ≥grade 3 differentiation syndrome",,,,,,,Myeloid!10,
Myeloid,AML,,,,AGILE,,"IDH1 mutated AML, newly diagnosed, intensive chemo ineligible",AZA +/- ivosidenib,"12 month EFS 37 vs 12%, HR 0.33; OS 24 vs 8 mos, HR 0.44;",,,,,,,Myeloid!11,
Myeloid,AML,,,,Study 2102-Hem-101,,"IDH1 mutated AML, relapsed/refractory",Olutasidenib,CR/CRH 35%; DOR was 26 mos,,,,,,,Myeloid!12,
Myeloid,AML,,,,Stein et al,,IDH2 mutated AML,Enasidenib,"ORR 40%, DOR 5.8 mos; OS 9 mos but in CR patients 20 mos;; differentiation syndrome in 7%",,,,,,,Myeloid!13,
Myeloid,AML,,,,VIALE-C,,"AML, untreated, not eligible for induction",LoDAC +/- venetoclax,"OS 8 vs 4 mos, HR 0.7; CR/CRi 48 vs 13%; feb neut 32 vs 29%",,,,,,,Myeloid!14,
Myeloid,AML,,,,BRIGHT AML 1003,,AML ≥74 or comorbidities,LoDAC +/- glasdegib,OS 9 vs 5 mos; CR 17 vs 2%; more effective in favorable/intermediate risk cytogenetics,,,,,,,Myeloid!15,
Myeloid,AML,,,,ADMIRAL,Phase 3,R/R AML,Gilteritinib or salvage chemo,"OS 9.3 vs 5.6 mos, HR 0.64; EFS 2.8 vs 0.7 mos, HR 0.79; feb neu 45.9%",Test,,,,,,Myeloid!16,
Myeloid,AML,,,,AUGMENT 101,,R/R KMT2Ar acute leukaemia,Revumenib,"23% achieved CR+CRh, DOR 6.4 months; CRC was 44%, ORR 63%",,,,,,,Myeloid!17,
Myeloid,MDS,,,,AZA 001,,AML/high risk MDS,Aza vs CCR,"OS 25 vs 16 mos, HR 0.47; 2 year OS 50 vs 16%; heme response 29 vs 12%",CR/CRi for MAL is 31% with DOR 13 mos in general,,,,,,Myeloid!20,
Myeloid,MDS,,,,EORTC/German,,Higher risk MDS,Decitabine vs BSC,PFS 6.6 vs 3 mos; OS NS,,,,,,,Myeloid!21,
Myeloid,MDS,,,,MEDALIST,,Lower risk MDS with ring sideroblasts; refractory or unlikely to respond to ESAs,Luspatercept vs placebo,TI ≥8weeks 38 vs 13%; TI≥12 weeks 28 vs 8%,,,,,,,Myeloid!22,
Myeloid,MDS,,,,COMMANDS,,"Transfusion dependent MDS, very low-Int risk",luspatercept vs EPO,RBC-TI: 59 vs 31%;,Included RS+ and - but more RS + patients and RS- did better with ESA,,,,,,Myeloid!23,
Myeloid,MDS,,,,MDS 004,,Low/int 1 risk with del5q,Len vs placebo,"TI ≥26 weeks 57, 37 and 2%; cytogenetic response (CR+PR) 57, 23, 0%: OS similar",,,,,,,Myeloid!24,
Myeloid,MDS,,,,MDS 002,,Low/INt-1 risk without del5q,Len vs placebo,TI ≥8 weeks 27 vs 3%; DOR 31 weeks; time to response 10 weeks,,,,,,,Myeloid!25,
Myeloid,MDS,,,,Apr 46,Phase 3,1st line MDS with TP53,Aza+/-eprenatapopt,Negative trial announced,,,,,,,Myeloid!26,
Myeloid,MDS,,,,PANTHER,Phase 2,"Phase 2 randomized high risk MDS, CMMoL or low blast count AML",AZA +\- pevonedistat,"EFS 21 vs 16.6 months, HR 0.67; OS NS (23 vs 19 months); benefit higher in high and very high risk IPSS-R",First NEDD-8 inhibitor; phase 3 reported as negative,,,,,,Myeloid!27,
Myeloid,MDS,,,,DACOTA,,Proliferative CMMoL with advanced disease,Decitabine vs hydroxyurea,EFS NS (12.6 vs 10.3 months); OS NS (18 vs 24 months),Hydroxyurea remains a viable option in advanced proliferate research CMMoL,,,,,,Myeloid!28,
Myeloid,MDS,,,,ASCERTAIN,,Candidates for IV decitabine; primary endpoint 5 day decitabine AUC equivalence,cedazuridine/decitabine and decitabine,Similar,,,,,,,Myeloid!29,
Myeloid,MDS,,,,VERONA,Phase 3,primary endpoints CR and OS,AZA+/-venetoclax,OS NS (22 mos); ORR 76 vs 58%);,,,,,,,Myeloid!30,
Myeloid,MDS,,,,Garcia-manero,,Low risk MDS; primary endpoint RBC TI,CC486 vs placebo,RBC TI in 30 vs 11%; OS NS (underpowered); more early deaths with CC486,,,,,,,Myeloid!31,
Myeloid,MDS,,,,DiNardo,Phase 2,IDH mutated MDS; alone or in combination with vidaza,Enasidenib,"Combination - ORR 74%, 70% composite CR
Post HMA - ORR 35% and CR 22%",,,,,,,Myeloid!33,
Myeloid,MDS,,,,IMerge,,"LR MDS, ESA rel/ref/ineligible",Imetelstat vs placebo,8 week RBC-TI rate 40% vs 15%,,,,,,,Myeloid!34,
Neuroendocrine,GI NET,,,,PROMID,,Small bowel GI NETs,Sandostatin LAR vs placebo,PFS 14.3 vs 6 mos; OS NS,,,,,,,Neuroendocrine!4,
Neuroendocrine,GI NET,,,,CLARINET,,Well or mod differentiated nonfunctioning GI and panc NETs,lanreotide vs placebo,"2 year PFS NR vs 18 mos, HR 0.47; 2 year PFS 65 vs 33%; OS NS.",Diarrhea most common side effect 26 vs 9%,,,,,,Neuroendocrine!5,
Neuroendocrine,GI NET,,,,RADIANT2,,"Advanced GINET progressing within 12 mos, carcinoid syndrome present",Octreotide LAR+/- everolimus,"PFS 16 vs 11 mos, HR 0.77; OS NS but crossover present",,,,,,,Neuroendocrine!6,
Neuroendocrine,GI NET,,,,RADIANT4,,Advanced nonfunctional lung or GINETS,everolimus vs placebo,"PFS 11 vs 3.9 mos, HR 0.48; ORR 2 vs 1%; DCR 81 vs 64%; OS NS (HR 0.73)",,,,,,,Neuroendocrine!7,
Neuroendocrine,GI NET,,,,Alliance A021202,Phase 2,Phase 2 progressive advanced nonpancreatic NET,pazopanib vs placebo,"PFS 11.6 vs 8.5 mos, HR 0.53, OS NS",,,,,,,Neuroendocrine!8,
Neuroendocrine,GI NET,,,,A021602,Phase 3,Phase 3 advanced NETs,cabozantinib vs placebo,Ongoing,,,,,,,Neuroendocrine!9,
Neuroendocrine,GI NET,,,,NETTER-1,Phase 3,progressed on octreotide LAR,Lu177 dotatate vs octreotide LAR,"PFS at 20 mos 65 vs 11%, median PFS NR vs 8.4 mos; OS NS (48 vs 36 mos); ORR 18 vs 3%l",,,,,,,Neuroendocrine!10,
Neuroendocrine,GI NET,,,,COMPETE,Phase 3,GI or panc NET,Lu177-Dotatate vs everolimus,"PFS 24 vs 14 mos, HR 0.67;",,,,,,,Neuroendocrine!11,
Neuroendocrine,GI NET,,,,KEYNOTE-158,Phase 2,well and mod differentiated NET; ≥` line of therapy prev,Pembrolizumab,"ORR 4%, PFS 4.1 mos",,,,,,,Neuroendocrine!12,
Neuroendocrine,GI NET,,,,PRODIGE41-BEVANEC,,"Neuroendocrine carcinoma, gastroenteropancretic, 2nd line after platinum etoposide",FOLFIRI+/-bevacizumab,6 mo OS 53 vs 60% favouring FOLFIRI,FOLFIRI without bev is standard 2nd line treatment,,,,,,Neuroendocrine!13,
Neuroendocrine,Pancreatic NET,,,,CLARINET,,Well or mod differentiated nonfunctioning GI and panc NETs,lanreotide vs placebo,"2 year PFS NR vs 18 mos, HR 0.47; 2 year PFS 65 vs 33%; OS NS.",Diarrhea most common side effect 26 vs 9%,,,,,,Neuroendocrine!18,
Neuroendocrine,Pancreatic NET,,,,ECOG ACRIN 2211,Phase 2,Met NET; progression within 12 mos,CAPTEM vs TEM,"PFS 22.7 vs 14.4 mos, HR 0.58; OS NS (59 vs 54 mos); ORR 33 vs 28%",,,,,,,Neuroendocrine!19,
